team_1,team_2,home_team,tournament,h_win_diff,h_draw,f_goalF_1,f_goalF_2,f_goalA_1,f_goalA_2,f_win_1,f_win_2,f_draw_1,f_draw_2,avg_odds_win_1,avg_odds_draw,avg_odds_win_2
61,117,117,21,0,0,16,18,9,12,3,2,1,3,2.952,3.1993,2.17
137,159,159,1,5,0,16,18,5,9,5,6,3,1,1.6265,3.7165,4.7096
2,184,184,20,0,0,10,17,12,17,3,3,1,2,4.213,3.5552,1.8485
82,115,82,36,5,2,19,17,6,10,5,1,0,3,1.1745,6.466,13.425999999999998
87,101,101,22,7,4,15,20,5,4,2,2,1,4,2.0631,3.1831,3.2838
64,156,64,36,0,0,8,19,10,9,3,4,5,2,2.7438,3.1025,2.3906
28,68,68,21,1,0,12,15,10,13,6,3,2,1,1.7348,3.3735,4.7917
2,114,114,5,0,1,11,12,5,9,6,4,3,4,3.0060000000000002,3.2292,2.286
60,182,182,21,-3,3,15,11,12,15,3,5,1,1,13.3975,5.9675,1.21
1,32,1,22,0,0,12,14,7,14,3,6,3,2,4.3411,3.4126,1.8
154,161,161,21,0,1,10,9,11,11,2,2,5,4,3.8667,3.2544,1.8778
7,142,7,21,37,29,20,18,12,7,6,5,2,1,1.2715,5.2331,10.3877
37,55,37,22,-1,0,15,14,16,11,4,4,1,3,1.6432,3.6425,5.3543
146,173,173,35,-2,5,13,15,10,14,5,4,3,0,2.2263,3.2979,3.1683
97,148,148,0,10,5,13,10,11,10,5,3,4,2,5.0421,3.6943,1.6021
88,145,88,22,-5,8,15,12,16,12,4,3,2,4,2.8315,3.1422,2.5285
26,70,26,20,1,0,21,13,12,10,8,4,2,1,1.265,5.032,10.63
127,144,144,22,0,0,15,17,13,11,6,3,2,4,8.17,4.5371,1.3357
14,189,189,21,-2,1,13,18,8,13,3,4,3,3,4.1127,3.2218,1.7927
7,128,128,20,-3,2,18,10,12,9,5,7,0,2,2.0,3.05,3.5
79,116,116,10,2,7,10,5,12,11,1,4,4,3,2.1726,3.2437,2.9153
128,181,181,22,1,1,17,14,10,13,7,5,1,2,1.9227,3.2646,3.8435
16,180,16,21,-19,11,20,12,16,9,5,6,1,1,7.2044,4.2763,1.3569
143,188,188,21,-19,13,19,17,10,12,3,6,3,4,11.2926,5.1081,1.2633
72,100,100,36,2,1,9,11,6,13,6,2,4,1,1.7896,3.4111,4.6029
179,185,179,6,3,0,14,14,13,4,2,5,1,2,1.7434,3.3014,4.5662
149,188,149,22,0,1,16,14,7,5,7,3,0,3,2.6678,3.1889,2.3544
